"Species_code","site","pre_post","Resilience","Rs_norm","Li_Rs","Li_Rs_norm","Li_Rt","Li_Rt_norm"
"38","PCMA","ak134.crn","70_89",0.937618458742418,-0.30544353425225,0.992345847650723,0.480902743019402,24.3509606816942,0.95671786709815
"39","PCMA","ak134.crn","90_09",NA,NA,NA,0.0449207548228256,NA,-0.344982500187391
"40","PCMA","ak136.crn","50_69",1.03088349418198,0.179705609537194,2.03793780504965,0.499078851672707,4.9914153414796,0.0714862685742795
"41","PCMA","ak136.crn","70_89",1.03770169879546,0.240040687824592,1.22507171773481,-0.0480207924476119,3.49972711758938,0.408651134825842
"42","PCMA","ak136.crn","90_09",NA,NA,NA,-0.694591543076297,NA,0.532147767377012
"43","TSME","ak150.crn","50_69",1.30291939932267,1.30397179811325,0.807501075616053,-0.732082061235247,20.0985668764546,0.356447614837713
"44","TSME","ak150.crn","70_89",1.58175435076733,1.93681854905414,0.0406682841348222,-1.56685570505622,62.573835517789,0.541486873273884
"45","TSME","ak150.crn","90_09",1.30738393385544,1.32232990427173,0.437487080373545,-1.96587281901492,26.7507802736999,2.40598261463074
"46","PIHE","alb001.crn","50_69",0.969126536964885,-0.128815662511079,0.826072887692245,-0.00447161742996233,4.63002332792914,0.260311301216298
"47","PIHE","alb001.crn","70_89",NA,NA,NA,-0.862156184249566,NA,-0.00673829904144789
"48","PIHE","alb001.crn","90_09",0.980413167441809,-0.0811538299470475,1.05576406750665,0.888817158972886,5.40526450242552,1.82671962834705
"49","PIHE","alb002.crn","50_69",1.04895872380816,0.311037291722091,1.4948149097355,-1.41398099726946,7.2860988336875,0.960986133998459
"50","PIHE","alb002.crn","70_89",0.925872324058325,-0.370275739837317,1.28017745953102,-0.74626850903359,11.6383413311364,0.458996667560095
"51","PIHE","alb002.crn","90_09",1.04764117245477,0.294189023955877,2.57155267645238,0.808023112954485,12.9306390078374,0.839702398565381
"52","ARAR","arge116.crn","50_69",1.04604884716811,0.118776215805586,184.629000033158,-0.85114859127322,5.61852530489756,0.114801890532823
"53","ARAR","arge116.crn","70_89",NA,NA,NA,-1.4468287794836,NA,0.902734791643865
"54","ARAR","arge116.crn","90_09",0.998914223669924,0.0394529600664861,11.1051164637121,0.250711590565323,2.44134423439204,-0.566626830842047
"55","ARAR","arge120.crn","50_69",1.04417061800105,0.241634755035047,4.12083739280139,-0.669072908253166,3.73318927348334,-0.296737838259898
"56","ARAR","arge120.crn","70_89",NA,NA,NA,-1.11928828251613,NA,1.77230413014928
"57","ARAR","arge120.crn","90_09",1.38187517811342,1.53118033850609,1.48431320854205,-0.676193622207891,5.35452930728242,0.0606814524889946
"58","ARAR","arge122.crn","50_69",1.00923082283322,0.0921854563933232,5.00843799957647,-1.56754452801464,474.413151163053,1.19181617168139
"59","ARAR","arge122.crn","70_89",NA,NA,NA,-1.42771740136158,NA,1.3487435412716
